RSS,Region,Nom_etablissement,Nom_installation,No_permis_installation,Nombre_de_civieres_fonctionnelles,Nombre_de_civieres_occupees,Nombre_de_patients_sur_civiere_plus_de_24_heures,Nombre_de_patients_sur_civiere_plus_de_48_heures,Nombre_total_de_patients_presents_a_lurgence,Nombre_total_de_patients_en_attente_de_PEC,DMS_sur_civiere,DMS_ambulatoire,DMS_sur_civiere_horaire,DMS_ambulatoire_horaire,heure_extraction,Mise_a_jour,collecte_utc
07,Outaouais,SANTÉ QUÉBEC OUTAOUAIS,HÔPITAL DE GATINEAU,51221703,28,32,13,1,69,34,29.81,8.87,29:48,8:52,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
05,Estrie,SANTÉ QUÉBEC ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,HÔPITAL DE GRANBY,51228120,20,23,4,0,64,34,17.29,6.18,17:17,6:10,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
07,Outaouais,SANTÉ QUÉBEC OUTAOUAIS,HÔPITAL DE HULL,51221711,25,33,9,0,73,38,17.5,11.98,17:30,11:58,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
11,Gaspésie-Îles-de-la-Madeleine,SANTÉ QUÉBEC DES ÎLES,HÔPITAL DE L'ARCHIPEL,51227783,6,4,1,0,11,5,9.23,2.43,9:13,2:25,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
03,Capitale-Nationale,SANTÉ QUÉBEC - CENTRE HOSPITALIER UNIVERSITAIRE DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL DE L'ENFANT-JÉSUS,51233914,48,55,4,1,89,23,17,3.79,17:00,3:47,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
02,Saguenay-Lac-Saint-Jean,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,HÔPITAL DE LA BAIE,51221364,7,4,0,0,8,1,6.22,3.21,6:13,3:12,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
13,Laval,SANTÉ QUÉBEC LAVAL,HÔPITAL DE LA CITÉ-DE-LA-SANTÉ,51228757,49,78,22,4,135,37,18.71,4.82,18:42,4:49,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
06,Montréal,SANTÉ QUÉBEC - CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,HÔPITAL DE LACHINE,51228310,14,22,9,5,33,9,32.83,4.14,32:49,4:08,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
14,Lanaudière,SANTÉ QUÉBEC LANAUDIÈRE,HÔPITAL DE LANAUDIÈRE ET CENTRE D'HÉBERGEMENT PARPHILIA-FERLAND,51244945,42,56,12,1,91,25,20.41,3.98,20:24,3:58,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
06,Montréal,SANTÉ QUÉBEC OUEST-DE-L'ÎLE-DE-MONTRÉAL - UNIVERSITAIRE,HÔPITAL DE LASALLE,51224392,15,18,9,4,39,17,25.24,5.77,25:14,5:46,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
07,Outaouais,SANTÉ QUÉBEC OUTAOUAIS,HÔPITAL DE MANIWAKI,51221893,6,5,3,1,11,4,14.03,4.27,14:01,4:16,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
01,Bas-Saint-Laurent,SANTÉ QUÉBEC BAS-SAINT-LAURENT,HÔPITAL DE MATANE,51218980,7,7,0,0,17,11,5.68,3.85,5:40,3:51,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
15,Laurentides,SANTÉ QUÉBEC LAURENTIDES,HÔPITAL DE MONT-LAURIER,51217610,8,16,11,1,28,5,19.61,5.89,19:36,5:53,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
12,Chaudière-Appalaches,SANTÉ QUÉBEC CHAUDIÈRE-APPALACHES,HÔPITAL DE MONTMAGNY,51245223,10,18,5,2,35,13,10.74,3.58,10:44,3:34,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
01,Bas-Saint-Laurent,SANTÉ QUÉBEC BAS-SAINT-LAURENT,HÔPITAL DE NOTRE-DAME-DU-LAC,51221877,5,3,0,0,12,3,7.91,2.47,7:54,2:28,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
08,Abitibi-Témiscamingue,SANTÉ QUÉBEC ABITIBI-TÉMISCAMINGUE,HÔPITAL DE ROUYN-NORANDA,51228922,8,4,1,0,24,19,9.58,3,9:34,3:00,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
15,Laurentides,SANTÉ QUÉBEC LAURENTIDES,HÔPITAL DE SAINT-EUSTACHE,51228864,35,51,23,7,92,34,24.17,6.73,24:10,6:43,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
12,Chaudière-Appalaches,SANTÉ QUÉBEC CHAUDIÈRE-APPALACHES,HÔPITAL DE SAINT-GEORGES,51228971,21,36,7,1,72,22,9.81,5.38,9:48,5:22,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
15,Laurentides,SANTÉ QUÉBEC LAURENTIDES,HÔPITAL DE SAINT-JÉRÔME,51228880,47,64,38,17,106,30,24.07,6.25,24:04,6:15,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
12,Chaudière-Appalaches,SANTÉ QUÉBEC CHAUDIÈRE-APPALACHES,HÔPITAL DE THETFORD,51245231,15,10,2,0,28,2,10.04,4.56,10:02,4:33,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
08,Abitibi-Témiscamingue,SANTÉ QUÉBEC ABITIBI-TÉMISCAMINGUE,HÔPITAL DE VAL-D'OR,51225589,11,9,1,0,27,11,11.37,4.76,11:22,4:45,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
06,Montréal,SANTÉ QUÉBEC CENTRE-SUD-DE-L'ÎLE-DE-MONTRÉAL - UNIVERSITAIRE,HÔPITAL DE VERDUN,51218097,26,32,9,0,50,13,17.65,4.84,17:39,4:50,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
06,Montréal,SANTÉ QUÉBEC OUEST-DE-L'ÎLE-DE-MONTRÉAL - UNIVERSITAIRE,HÔPITAL DOUGLAS,51235190,8,1,0,0,5,1,13.95,2.54,13:57,2:32,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
04,Mauricie et Centre-du-Québec,SANTÉ QUÉBEC MAURICIE-ET-CENTRE-DU-QUÉBEC - UNIVERSITAIRE,HÔPITAL DU CENTRE-DE-LA-MAURICIE,51220051,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,,,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
16,Montérégie,SANTÉ QUÉBEC MONTÉRÉGIE-CENTRE,HÔPITAL DU HAUT-RICHELIEU,51229045,37,47,22,4,103,35,18.32,5.76,18:19,5:45,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
06,Montréal,SANTÉ QUÉBEC NORD-DE-L'ÎLE-DE-MONTRÉAL - UNIVERSITAIRE,HÔPITAL DU SACRÉ-COEUR-DE-MONTRÉAL,12475976,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,,,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
03,Capitale-Nationale,SANTÉ QUÉBEC - CENTRE HOSPITALIER UNIVERSITAIRE DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL DU SAINT-SACREMENT,51217529,22,17,3,0,37,14,14.75,3.68,14:45,3:40,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
16,Montérégie,SANTÉ QUÉBEC MONTÉRÉGIE-OUEST,HÔPITAL DU SUROÎT,51229136,32,57,24,17,92,28,24.82,3.98,24:49,3:58,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
06,Montréal,SANTÉ QUÉBEC NORD-DE-L'ÎLE-DE-MONTRÉAL - UNIVERSITAIRE,HÔPITAL EN SANTÉ MENTALE ALBERT-PRÉVOST,51848752,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,,,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
02,Saguenay-Lac-Saint-Jean,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,HÔPITAL ET CENTRE D'HÉBERGEMENT DE ROBERVAL,51228203,13,11,1,0,25,11,15.74,4.73,15:44,4:43,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
02,Saguenay-Lac-Saint-Jean,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,HÔPITAL ET CENTRE DE RÉADAPTATION DE JONQUIÈRE,51224541,16,7,0,0,24,10,10.44,4.53,10:26,4:31,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
07,Outaouais,SANTÉ QUÉBEC OUTAOUAIS,HÔPITAL ET CHSLD DE PAPINEAU,51228823,12,13,0,0,26,12,33.52,4.04,33:31,4:02,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
